"","Subject","trialNum","soundfile","leftprompt","rightprompt","response","keyResp","keyRT","Time"
"64","ABCD_1701",64,"dash-1.wav","D","T","D","z",1.19914007187,198.540394068
"65","ABCD_1701",65,"dash-7.wav","D","T","T","m",1.38552093506,200.193018913
"66","ABCD_1701",66,"dash-2.wav","D","T","D","z",1.81976604462,202.280421019
"67","ABCD_1701",67,"dash-5.wav","D","T","T","m",1.35565185547,203.89902997
"68","ABCD_1701",68,"dash-6.wav","D","T","T","m",1.4564139843,205.618443012
"69","ABCD_1701",69,"dash-3.wav","D","T","D","z",1.1919760704,207.071013927
"70","ABCD_1701",70,"dash-4.wav","D","T","T","m",1.33892703056,208.673542023
"71","ABCD_1701",71,"dath-5.wav","D","T","T","m",1.21980714798,211.194578886
"72","ABCD_1701",72,"dath-2.wav","D","T","D","z",1.3811109066,212.830417871
"73","ABCD_1701",73,"dath-6.wav","D","T","T","m",1.16859102249,214.266388893
"74","ABCD_1701",74,"dath-1.wav","D","T","D","z",1.20393610001,215.735188961
"75","ABCD_1701",75,"dath-4.wav","D","T","T","m",1.19023299217,217.187843084
"76","ABCD_1701",76,"dath-7.wav","D","T","T","m",1.21712303162,218.673359871
"77","ABCD_1701",77,"dath-3.wav","D","T","D","z",1.69054484367,220.626558065
"78","ABCD_1701",78,"gift-4.wav","K","G","G","m",2.67636013031,224.599915981
"79","ABCD_1701",79,"gift-2.wav","K","G","G","m",1.23310112953,226.085925102
"80","ABCD_1701",80,"gift-7.wav","K","G","K","z",1.37049794197,227.721694946
"81","ABCD_1701",81,"gift-3.wav","K","G","G","m",1.28575015068,229.274533033
"82","ABCD_1701",82,"gift-5.wav","K","G","G","m",2.05997419357,231.594830036
"83","ABCD_1701",83,"gift-6.wav","K","G","K","z",1.55453276634,233.414722919
"84","ABCD_1701",84,"gift-1.wav","K","G","G","m",1.29405212402,234.967144012
"85","ABCD_1701",85,"gift-3.wav","K","G","G","m",1.41726994514,237.688194036
"86","ABCD_1701",86,"gift-1.wav","K","G","G","m",1.38615512848,239.341234922
"87","ABCD_1701",87,"gift-5.wav","K","G","K","z",1.35622215271,240.960200071
