"",".id","PartID","Subject","trialNum","soundfile","leftprompt","rightprompt","response","keyResp","keyRT","Time"
"44","1_PhonWords_2016_Aug_07_1342.txt","5166",1,44,"giss-7.wav","K","G","G","m",3.13398104013,179.83242145
"45","1_PhonWords_2016_Aug_07_1342.txt","5166",1,45,"giss-5.wav","K","G","G","m",1.78532966908,181.884133084
"46","1_PhonWords_2016_Aug_07_1342.txt","5166",1,46,"giss-1.wav","K","G","G","m",2.045599851,184.194943022
"47","1_PhonWords_2016_Aug_07_1342.txt","5166",1,47,"giss-3.wav","K","G","G","m",1.95865699668,186.418678967
"48","1_PhonWords_2016_Aug_07_1342.txt","5166",1,48,"giss-2.wav","K","G","G","m",2.04682570453,188.728969295
"49","1_PhonWords_2016_Aug_07_1342.txt","5166",1,49,"giss-6.wav","K","G","K","z",1.49647372302,190.487638075
"50","1_PhonWords_2016_Aug_07_1342.txt","5166",1,50,"dask-3.wav","T","D","T","z",1.72667495306,193.504798884
"51","1_PhonWords_2016_Aug_07_1342.txt","5166",1,51,"dask-7.wav","T","D","T","z",1.98446834067,195.746206126
"52","1_PhonWords_2016_Aug_07_1342.txt","5166",1,52,"dask-5.wav","T","D","D","m",1.39899156917,197.401363073
"53","1_PhonWords_2016_Aug_07_1342.txt","5166",1,53,"dask-2.wav","T","D","D","m",1.45585102744,199.108244198
"54","1_PhonWords_2016_Aug_07_1342.txt","5166",1,54,"dask-6.wav","T","D","T","z",1.98887305099,201.349630153
"55","1_PhonWords_2016_Aug_07_1342.txt","5166",1,55,"dask-4.wav","T","D","D","m",1.70742316084,203.315170555
"56","1_PhonWords_2016_Aug_07_1342.txt","5166",1,56,"dask-1.wav","T","D","D","m",2.28572346265,205.867057799
"57","1_PhonWords_2016_Aug_07_1342.txt","5166",1,57,"dath-5.wav","T","D","T","z",2.25147178446,209.418642857
"58","1_PhonWords_2016_Aug_07_1342.txt","5166",1,58,"dath-1.wav","T","D","D","m",1.96600489581,211.642795022
"59","1_PhonWords_2016_Aug_07_1342.txt","5166",1,59,"dath-2.wav","T","D","D","m",1.63782394843,213.539346668
"60","1_PhonWords_2016_Aug_07_1342.txt","5166",1,60,"dath-6.wav","T","D","T","z",1.47729605218,215.280689671
"61","1_PhonWords_2016_Aug_07_1342.txt","5166",1,61,"dath-4.wav","T","D","T","z",1.39983161144,216.935907056
"62","1_PhonWords_2016_Aug_07_1342.txt","5166",1,62,"dath-7.wav","T","D","T","z",1.23256627211,218.435894512
"63","1_PhonWords_2016_Aug_07_1342.txt","5166",1,63,"dath-3.wav","T","D","T","z",1.80453774869,220.505215104
"64","1_PhonWords_2016_Aug_07_1342.txt","5166",1,64,"gith-7.wav","K","G","K","z",1.436938293,223.228932424
"65","1_PhonWords_2016_Aug_07_1342.txt","5166",1,65,"gith-3.wav","K","G","K","z",2.25129693404,225.746233874
"66","1_PhonWords_2016_Aug_07_1342.txt","5166",1,66,"gith-1.wav","K","G","G","m",1.92589914931,227.93664979
"67","1_PhonWords_2016_Aug_07_1342.txt","5166",1,67,"gith-2.wav","K","G","G","m",1.18904562076,229.384040717
"68","1_PhonWords_2016_Aug_07_1342.txt","5166",1,68,"gith-5.wav","K","G","K","z",1.76797272333,231.418682768
"69","1_PhonWords_2016_Aug_07_1342.txt","5166",1,69,"gith-4.wav","K","G","G","m",1.90121863145,233.57382223
"70","1_PhonWords_2016_Aug_07_1342.txt","5166",1,70,"gith-6.wav","K","G","K","z",1.56200766301,235.401400324
"71","1_PhonWords_2016_Aug_07_1342.txt","5166",1,71,"dash-3.wav","D","T","D","z",1.77178560297,238.470375776
"72","1_PhonWords_2016_Aug_07_1342.txt","5166",1,72,"dash-7.wav","D","T","T","m",2.04909229822,240.780772155
"73","1_PhonWords_2016_Aug_07_1342.txt","5166",1,73,"dash-5.wav","D","T","T","m",2.05074197399,243.091046518
"74","1_PhonWords_2016_Aug_07_1342.txt","5166",1,74,"dash-1.wav","D","T","D","z",1.63637002912,244.987573456
"75","1_PhonWords_2016_Aug_07_1342.txt","5166",1,75,"dash-6.wav","D","T","T","m",1.33182353791,246.573828312
"76","1_PhonWords_2016_Aug_07_1342.txt","5166",1,76,"dash-4.wav","D","T","T","m",1.77753818201,248.608338085
"77","1_PhonWords_2016_Aug_07_1342.txt","5166",1,77,"dash-2.wav","D","T","D","z",2.31094829749,251.177299093
"78","1_PhonWords_2016_Aug_07_1342.txt","5166",1,78,"gift-5.wav","G","K","K","m",1.67534000806,254.1427878
"79","1_PhonWords_2016_Aug_07_1342.txt","5166",1,79,"gift-6.wav","G","K","K","m",1.76027246258,256.160000684
"80","1_PhonWords_2016_Aug_07_1342.txt","5166",1,80,"gift-7.wav","G","K","G","z",1.76699546149,258.177160733
"81","1_PhonWords_2016_Aug_07_1342.txt","5166",1,81,"gift-2.wav","G","K","G","z",1.52576877171,259.952975498
"82","1_PhonWords_2016_Aug_07_1342.txt","5166",1,82,"gift-3.wav","G","K","G","z",1.70187508077,261.918630313
"83","1_PhonWords_2016_Aug_07_1342.txt","5166",1,83,"gift-1.wav","G","K","G","z",1.73618643617,263.918476749
"84","1_PhonWords_2016_Aug_07_1342.txt","5166",1,84,"gift-4.wav","G","K","G","z",1.59226172828,265.763459302
"85","1_PhonWords_2016_Aug_07_1342.txt","5166",1,85,"giss-6.wav","G","K","K","m",1.832652557,268.884180978
"86","1_PhonWords_2016_Aug_07_1342.txt","5166",1,86,"giss-1.wav","G","K","K","m",1.89834766347,271.039269885
"87","1_PhonWords_2016_Aug_07_1342.txt","5166",1,87,"giss-3.wav","G","K","G","z",2.15911730943,273.453104355
"88","1_PhonWords_2016_Aug_07_1342.txt","5166",1,88,"giss-4.wav","G","K","G","z",1.47329425806,275.177203305
"89","1_PhonWords_2016_Aug_07_1342.txt","5166",1,89,"giss-7.wav","G","K","K","m",2.61307729149,278.056575516
"90","1_PhonWords_2016_Aug_07_1342.txt","5166",1,90,"giss-5.wav","G","K","G","z",2.58964581385,280.90138778
"91","1_PhonWords_2016_Aug_07_1342.txt","5166",1,91,"giss-2.wav","G","K","K","m",1.97669091766,283.142771455
"92","1_PhonWords_2016_Aug_07_1342.txt","5166",1,92,"dask-3.wav","D","T","T","m",4.38855794011,288.832547267
"93","1_PhonWords_2016_Aug_07_1342.txt","5166",1,93,"dask-1.wav","D","T","T","m",2.84521594028,291.935883489
"94","1_PhonWords_2016_Aug_07_1342.txt","5166",1,94,"dask-7.wav","D","T","T","m",3.05375700352,295.246216389
"95","1_PhonWords_2016_Aug_07_1342.txt","5166",1,95,"dask-2.wav","D","T","D","z",1.43940786523,296.953205845
"96","1_PhonWords_2016_Aug_07_1342.txt","5166",1,96,"dask-4.wav","D","T","D","z",1.8922860553,299.108299694
"97","1_PhonWords_2016_Aug_07_1342.txt","5166",1,97,"dask-5.wav","D","T","T","m",1.55317999711,300.918664523
"98","1_PhonWords_2016_Aug_07_1342.txt","5166",1,98,"dask-6.wav","D","T","T","m",1.7506910393,302.935944686
"99","1_PhonWords_2016_Aug_07_1342.txt","5166",1,99,"gith-7.wav","K","G","K","z",3.39470925415,307.625621289
"100","1_PhonWords_2016_Aug_07_1342.txt","5166",1,100,"gith-3.wav","K","G","K","z",2.04348568127,309.935980417
"101","1_PhonWords_2016_Aug_07_1342.txt","5166",1,101,"gith-2.wav","K","G","K","z",2.14902958013,312.349736204
"102","1_PhonWords_2016_Aug_07_1342.txt","5166",1,102,"gith-5.wav","K","G","K","z",1.43921895075,314.039435233
"103","1_PhonWords_2016_Aug_07_1342.txt","5166",1,103,"gith-1.wav","K","G","K","z",1.46950608556,315.763437635
