PartID,Subject,trialNum,cond,soundfile,leftprompt,rightprompt,response,correct,keyResp,keyRT,Time
READ_4521,3,50,2-n,cape-tape-2-n.wav,stim62_2,stim62_1,cape,1,z,3.39907123,393.8252396
READ_4521,3,51,1-n,box-chalks-1-n.wav,stim14_2,stim14_1,box,1,m,6.614794562,400.688499
READ_4521,3,52,2-i,bug-rug-2-i.wav,stim13_2,stim13_1,bug,0,m,4.647387801,405.5846797
READ_4521,3,53,2-n,jet-pet-2-n.wav,stim34_2,stim34_1,pet,1,z,4.183117169,410.0168911
READ_4521,3,54,1-c,pole-goal-1-c.wav,stim28_2,stim28_1,goal,1,m,4.286773446,414.5520553
READ_4521,3,55,2-i,pie-tie-2-i.wav,stim7_2,stim7_1,pie,0,z,3.727525296,418.5281811
READ_4521,3,56,1-i,date-gate-1-i.wav,stim36_2,stim36_1,date,0,m,4.887403446,423.6643827
READ_4521,3,57,2-c,brown-crown-2-c.wav,stim24_1,stim24_2,crown,1,m,5.006961404,428.9196006
READ_4521,3,58,1-i,clock-block-1-i.wav,stim42_1,stim42_2,clock,1,m,5.351563085,434.5198893
READ_4521,3,59,1-c,pear-bear-1-c.wav,stim16_1,stim16_2,pear,1,z,6.167051659,440.9350804
READ_4521,3,60,2-c,toy-boy-2-c.wav,stim31_1,stim31_2,toy,1,m,8.175683663,449.3593965
4745,3,1,1-n,booth-tooth-1-n.wav,stim55_2,stim55_1,tooth,1,m,5.327813574,115.984686
4745,3,2,1-c,dots-pots-1-c.wav,stim47_2,stim47_1,dots,1,m,5.727325356,121.9609068
4745,3,3,1-n,king-ring-1-n.wav,stim45_1,stim45_2,king,0,m,6.334904977,128.5441873
4745,3,4,2-c,toy-boy-2-c.wav,stim31_2,stim31_1,toy,1,z,4.487533217,133.2803628
4745,3,5,2-n,puck-duck-2-n.wav,stim15_2,stim15_1,puck,1,z,4.095293773,137.6245004
4745,3,6,1-n,tool-pool-1-n.wav,stim39_1,stim39_2,pool,0,m,5.383036889,143.25592
4745,3,7,2-c,cart-tart-2-c.wav,stim6_1,stim6_2,tart,1,m,6.159406049,149.6640018
4745,3,8,2-n,rail-jail-2-n.wav,stim27_1,stim27_2,rail,0,z,6.287214758,156.2002242
4745,3,9,2-i,robe-globe-2-i.wav,stim53_2,stim53_1,globe,0,z,3.878822377,160.3273954
4745,3,10,1-c,peak-beak-1-c.wav,stim22_2,stim22_1,peak,1,m,5.687502732,166.2636485
4745,3,11,2-c,blue-glue-2-c.wav,stim59_1,stim59_2,blue,1,m,4.367156494,170.8798171
4745,3,12,1-i,bow-cow-1-i.wav,stim5_2,stim5_1,bow,0,m,5.126793424,176.2550199
4745,3,13,1-n,buns-guns-1-n.wav,stim26_1,stim26_2,buns,1,z,6.255432682,182.7592629
4745,3,14,2-n,cape-tape-2-n.wav,stim62_1,stim62_2,tape,0,z,5.167066483,188.1744859
4745,3,15,2-c,drain-brain-2-c.wav,stim43_1,stim43_2,brain,1,m,5.191698618,193.6146885
4745,3,16,1-i,drill-grill-1-i.wav,stim48_1,stim48_2,drill,0,z,4.471351392,198.3349126
4745,3,17,1-c,toes-bows-1-c.wav,stim4_1,stim4_2,toes,1,z,5.735005935,204.3181237
4745,3,18,1-n,tube-cube-1-n.wav,stim61_1,stim61_2,cube,1,z,5.767667215,210.334339
4745,3,19,2-i,book-cook-2-i.wav,stim25_1,stim25_2,cook,0,m,4.191299879,214.7745112
4745,3,20,2-c,cane-chain-2-c.wav,stim12_2,stim12_1,cane,1,z,5.079035545,220.1017527
4745,3,21,1-c,race-case-1-c.wav,stim57_2,stim57_1,race,1,m,5.439572357,225.7899449
4745,3,22,2-n,rake-cake-2-n.wav,stim46_2,stim46_1,cake,1,z,4.439292593,230.4781254
4745,3,23,2-i,pot-cot-2-i.wav,stim19_2,stim19_1,cot,0,z,5.262985163,235.989429
4745,3,24,1-i,pills-bills-1-i.wav,stim11_2,stim11_1,bills,1,z,7.719270744,243.9577549
4745,3,25,1-n,box-chalks-1-n.wav,stim14_1,stim14_2,box,1,z,3.518896028,247.7258064
4745,3,26,2-i,bank-tank-2-i.wav,stim32_1,stim32_2,tank,0,m,6.406770055,254.3810618
4745,3,27,1-c,cold-gold-1-c.wav,stim41_1,stim41_2,cold,1,z,4.951474671,259.5812476
4745,3,28,2-i,bark-dark-2-i.wav,stim38_1,stim38_2,bark,0,m,4.991126623,264.8215434
4745,3,29,1-c,bite-kite-1-c.wav,stim35_1,stim35_2,kite,1,z,8.870492943,273.9409451
4745,3,30,2-i,pie-tie-2-i.wav,stim7_2,stim7_1,pie,0,z,3.671036582,277.8609445
4745,3,31,1-i,date-gate-1-i.wav,stim36_1,stim36_2,date,0,z,6.726997698,284.8361835
4745,3,32,1-c,cone-bone-1-c.wav,stim10_2,stim10_1,cone,1,m,4.335604007,289.4204735
4745,3,33,2-i,bug-rug-2-i.wav,stim13_1,stim13_2,bug,0,z,4.199232854,293.8685745
4745,3,34,2-i,crumbs-drums-2-i.wav,stim60_1,stim60_2,drums,0,m,5.4229515,299.539792
4745,3,35,2-n,jet-pet-2-n.wav,stim34_2,stim34_1,pet,1,z,3.735682918,303.523966
4745,3,36,1-i,lips-chips-1-i.wav,stim64_1,stim64_2,chips,0,m,6.255318648,310.0282257
4745,3,37,1-c,pear-bear-1-c.wav,stim16_2,stim16_1,pear,1,m,4.638926847,314.9154061
4745,3,38,2-n,grip-drip-2-n.wav,stim56_2,stim56_1,,,m,0,324.3014508
4745,3,39,1-n,can-pan-1-n.wav,stim20_2,stim20_1,pan,1,m,4.3253607,328.8749399
4745,3,40,2-i,trash-crash-2-i.wav,stim44_1,stim44_2,trash,0,m,8.503600628,337.6273281
4745,3,41,2-n,pig-dig-2-n.wav,stim40_2,stim40_1,dig,1,z,3.367158014,341.2434329
4745,3,42,2-c,train-grain-2-c.wav,stim37_2,stim37_1,grain,1,z,5.398886495,346.890677
4745,3,43,1-i,cars-bars-1-i.wav,stim17_1,stim17_2,cars,0,z,4.647523501,351.7868656
4745,3,44,2-c,cord-board-2-c.wav,stim50_1,stim50_2,board,1,m,5.007160584,357.0433698
4745,3,45,1-n,beach-peach-1-n.wav,stim8_2,stim8_1,beach,1,m,4.782602267,362.0742446
4745,3,46,2-i,bees-peas-2-i.wav,stim1_1,stim1_2,peas,0,m,4.151568863,366.4744246
4745,3,47,1-i,clock-block-1-i.wav,stim42_1,stim42_2,block,0,z,6.311284325,373.0346907
4745,3,48,2-n,bats-cats-2-n.wav,stim9_1,stim9_2,cats,1,m,4.934714692,378.2178782
4745,3,49,2-n,coats-goats-2-n.wav,stim21_1,stim21_2,coats,0,z,4.767467275,383.2340775
4745,3,50,2-n,ghost-toast-2-n.wav,stim3_1,stim3_2,ghost,0,z,5.383167268,388.8663102
4745,3,51,1-i,bag-tag-1-i.wav,stim23_1,stim23_2,tag,0,m,4.262819814,393.3774333
4745,3,52,2-c,chin-bin-2-c.wav,stim18_1,stim18_2,chin,1,m,5.41557083,399.0416783
4745,3,53,1-c,pole-goal-1-c.wav,stim28_2,stim28_1,goal,1,m,4.343224148,403.6338774
4745,3,54,1-c,glass-class-1-c.wav,stim63_2,stim63_1,class,1,m,5.118876034,409.0010575
4745,3,55,1-n,pen-den-1-n.wav,stim33_1,stim33_2,pen,1,m,6.215504386,415.4653171
4745,3,56,1-i,gown-town-1-i.wav,stim58_2,stim58_1,gown,0,m,4.831198678,420.5455127
4745,3,57,2-c,lamp-ramp-2-c.wav,stim65_2,stim65_1,ramp,1,z,4.694802438,425.4886872
4745,3,58,2-c,brown-crown-2-c.wav,stim24_1,stim24_2,crown,1,m,5.59952425,431.3369926
