"","word","com_cond","slope","inflection"
"1","gift","Dys - Adult",0.744574050776519,5.89638197422406
"2","gift","Dys - Child",0.013586516674245,4.51207716788211
"3","gift","Typ - Adult",1.04086274588238,5.45477591027564
"4","gift","Typ - Child",0.278362735339675,5.46378470928864
"5","giss","Dys - Adult",0.725619796700208,4.2426120776018
"6","giss","Dys - Child",0.130801400859204,3.24040232108606
"7","giss","Typ - Adult",1.12724714244707,4.37073317657832
"8","giss","Typ - Child",0.543785270134256,3.13699126613215
"9","gith","Dys - Adult",0.606381709822692,5.21566674099718
"10","gith","Dys - Child",0.0871616422805812,3.57893361620403
"11","gith","Typ - Adult",0.859676953496808,4.79618600286033
"12","gith","Typ - Child",0.283575307340003,3.98028165748685
